symbol,yf_ticker,company,sector
FORTH,FORTH.BK,FORTH CORPORATION PUBLIC COMPANY LIMITED,Information & Communication Technology
FPI,FPI.BK,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,-
FPT,FPT.BK,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED,Property Development
FSMART,FSMART.BK,FORTH SMART SERVICE PUBLIC COMPANY LIMITED,-
FSX,FSX.BK,FINANSIA X PUBLIC COMPANY LIMITED,Finance & Securities
FTE,FTE.BK,FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED,Industrial Materials & Machinery
FTI,FTI.BK,Function International Public Company Limited,Home & Office Products
FTREIT,FTREIT.BK,FRASERS PROPERTY THAILAND INDUSTRIAL FREEHOLD & LEASEHOLD REIT,Property Fund & REITs
FUTURERT,FUTURERT.BK,Future City Leasehold Real Estate Investment Trust,Property Fund & REITs
FVC,FVC.BK,FILTER VISION PUBLIC COMPANY LIMITED,-
GABLE,GABLE.BK,G-Able Public Company Limited,Information & Communication Technology
GAHREIT,GAHREIT.BK,GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST,Property Fund & REITs
GBX,GBX.BK,GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED,Finance & Securities
GC,GC.BK,GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals
GCAP,GCAP.BK,G CAPITAL PUBLIC COMPANY LIMITED,-
GEL,GEL.BK,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,Construction Materials
GENCO,GENCO.BK,"GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO., LTD.",Professional Services
GFC,GFC.BK,Genesis Fertility Center Public Company Limited,-
GFPT,GFPT.BK,GFPT PUBLIC COMPANY LIMITED,Agribusiness
GGC,GGC.BK,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals
GJS,GJS.BK,G J STEEL PUBLIC COMPANY LIMITED,Steel and Metal Products
GLAND,GLAND.BK,GRAND CANAL LAND PUBLIC COMPANY LIMITED,Property Development
GLOBAL,GLOBAL.BK,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,Commerce
GLORY,GLORY.BK,GLORY FOREVER PUBLIC COMPANY LIMITED,-
GPI,GPI.BK,GRAND PRIX INTERNATIONAL PUBLIC COMPANY LIMITED,Media & Publishing
GPSC,GPSC.BK,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,Energy & Utilities
GRAMMY,GRAMMY.BK,GMM GRAMMY PUBLIC COMPANY LIMITED,Media & Publishing
GRAND,GRAND.BK,GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY LIMITED,Tourism & Leisure
GREEN,GREEN.BK,GREEN RESOURCES PUBLIC COMPANY LIMITED,Energy & Utilities
GROREIT,GROREIT.BK,GRANDE ROYAL ORCHID HOSPITALITY REAL ESTATE INVESTMENT TRUST WITH BUY-BACK CONDITION,Property Fund & REITs
GSTEEL,GSTEEL.BK,G STEEL PUBLIC COMPANY LIMITED,Steel and Metal Products
GTB,GTB.BK,GETABEC PUBLIC COMPANY LIMITED,-
GTV,GTV.BK,GREEN TECH VENTURES PUBLIC COMPANY LIMITED,-
