symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
WIIK,WIIK.BK,WIIK PUBLIC COMPANY LIMITED,Construction Materials,1.28,True,7,90.0,False,39.75,1.19,-7.03,
CAZ,CAZ.BK,CAZ (THAILAND) PUBLIC COMPANY LIMITED,-,2.4,True,7,90.0,False,37.83,2.46,2.5,
TITLE,TITLE.BK,RHOM BHO PROPERTY PUBLIC COMPANY LIMITED,Property Development,9.2,True,7,93.0,False,37.75,9.65,4.89,
ETC,ETC.BK,EARTH TECH ENVIRONMENT PUBLIC COMPANY LIMITED,Energy & Utilities,0.75,True,7,71.0,False,37.67,0.76,1.33,
SCC,SCC.BK,THE SIAM CEMENT PUBLIC COMPANY LIMITED,Construction Materials,261.0,True,7,76.0,False,36.83,255.57,-2.08,
SRICHA,SRICHA.BK,SRIRACHA CONSTRUCTION PUBLIC COMPANY LIMITED,Construction Services,18.2,True,7,95.0,False,36.67,18.39,1.04,
GPSC,GPSC.BK,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,Energy & Utilities,53.75,True,7,88.0,False,36.67,44.01,-18.12,
SVT,SVT.BK,SUN VENDING TECHNOLOGY PUBLIC COMPANY LIMITED,Commerce,1.65,True,7,82.0,False,36.67,1.35,-18.18,
KLINIQ,KLINIQ.BK,The Klinique Medical Clinic Public Company Limited,Health Care Services,29.75,True,7,80.0,False,36.67,28.43,-4.45,
MGT,MGT.BK,MEGACHEM (THAILAND) PUBLIC COMPANY LIMITED,-,2.14,True,7,77.0,False,36.67,1.91,-10.53,
NNCL,NNCL.BK,NAVANAKORN PUBLIC COMPANY LIMITED,Property Development,1.76,True,7,74.0,False,36.67,1.78,1.16,
SWC,SWC.BK,SHERWOOD CORPORATION (THAILAND) PUBLIC COMPANY LIMITED,-,4.7,True,7,72.0,False,36.67,4.57,-2.66,
RATCH,RATCH.BK,RATCH GROUP PUBLIC COMPANY LIMITED,Energy & Utilities,38.0,True,7,84.0,False,34.83,39.5,3.95,
INSET,INSET.BK,INFRASET PUBLIC COMPANY LIMITED,Information & Communication Technology,4.84,True,7,98.0,False,34.75,5.05,4.28,
SPRC,SPRC.BK,STAR PETROLEUM REFINING PUBLIC COMPANY LIMITED,Energy & Utilities,12.6,True,7,98.0,False,33.75,12.49,-0.86,
IRPC,IRPC.BK,IRPC PUBLIC COMPANY LIMITED,Energy & Utilities,2.54,True,7,97.0,False,33.75,2.52,-0.79,
STC,STC.BK,STC CONCRETE PRODUCT PUBLIC COMPANY LIMITED,-,0.68,True,7,96.0,False,33.75,0.6,-11.76,
AIE,AIE.BK,AI ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities,1.61,True,7,95.0,False,33.75,1.64,1.92,
PIS,PIS.BK,Pro Inside Public Company Limited,-,5.75,True,7,93.0,False,33.75,5.3,-7.83,
PLANB,PLANB.BK,PLAN B MEDIA PUBLIC COMPANY LIMITED,Media & Publishing,6.55,True,7,92.0,False,33.75,6.66,1.63,
SSP,SSP.BK,SERMSANG POWER CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities,5.05,True,7,91.0,False,33.75,4.82,-4.55,
TMT,TMT.BK,TMT STEEL PUBLIC COMPANY LIMITED,Steel and Metal Products,4.22,True,7,90.0,False,33.75,4.27,1.11,
IMPACT,IMPACT.BK,IMPACT GROWTH REAL ESTATE INVESTMENT TRUST,Property Fund & REITs,13.7,True,7,85.0,False,33.75,13.95,1.83,
